VIAF	Name	Last	First	Title	Born	Dead	Wikipedia	Portrait	Profession	Gender	SocialStatus	Nationality	RelatedWithID	Type	Roles	Source
51698875	Legrand, Marc-Antoine	Legrand	Marc-Antoine		1673	1728	http://fr.wikipedia.org/wiki/Marc-Antoine_Legrand		author, actor	male		French				
51711644	Boissy, Louis de Laus	Boissy	Louis de Laus de		1694	1758	http://fr.wikipedia.org/wiki/Louis_de_Boissy		Poet, playwright	male	aristocrat	French				
54146831	Diderot, Denis	Diderot	Denis		1713	1784	http://fr.wikipedia.org/wiki/Diderot	http://upload.wikimedia.org/wikipedia/commons/6/63/Denis_Diderot_111.PNG	Author	male		French				
55071067	Tronchin, François	Tronchin	François		1704	1798	http://fr.wikipedia.org/wiki/Fran%C3%A7ois_Tronchin	http://upload.wikimedia.org/wikipedia/commons/1/17/Jean-%C3%89tienne_Liotard_003.jpg	author, lawyer	male		Swiss				
55913441	Joliveau, Nicolas-René	Joliveau	Nicolas-René	secretary of the Royal Academy of Music		1790			librettist	male		French				
56628259	Pompadour, Mme de 	Pompadour	Jeanne Antoinette Poisson	marquise de Pompadour	1721	1764	http://fr.wikipedia.org/wiki/Marquise_de_Pompadour	http://upload.wikimedia.org/wikipedia/commons/e/e5/Pompadour6.jpg		female	aristocrat	French				Alphonse Jullien, La comédie à la cour, p. 225-247
56708001	Montalembert, marquis de	Montalembert	Marc-René de	marquis de Montalembert	1714	1800	http://en.wikipedia.org/wiki/Marc_Ren%C3%A9,_marquis_de_Montalembert	http://upload.wikimedia.org/wikipedia/commons/b/bc/Marc-Ren%C3%A9_de_Montalembert.jpg	Author	male	aristocrat	French				Clarétie, 20
59104958	Armand-Louis de Gontaut, duc de Lauzun	Lauzun	Armand-Louis de Gontaut	duc de Lauzun, duc de Biron	1747	1793	http://en.wikipedia.org/wiki/Armand_Louis_de_Gontaut	http://upload.wikimedia.org/wikipedia/commons/7/78/Armand_Louis_de_Gontaut_%281747-1793%29%2C_French_nobleman.jpg	Author:Amateur actor	male	aristocrat	French			amoureux/petits maîtres	
59159024	Pont-de-Veyle, Antoine de Fériol, comte 	Pont-de-Veyle	Antoine de Fériol	comte	1697	1774	http://fr.wikipedia.org/wiki/Antoine_de_F%C3%A9riol_de_Pont-de-Veyle		Author	male	aristocrat	French	Mme de Rochefort	content provider		
61850362	Clermont, comte de	Bourbon-Condé	Louis de	comte de Clermont	1709	1771	http://fr.wikipedia.org/wiki/Louis_de_Bourbon-Cond%C3%A9_(1709-1771)	http://upload.wikimedia.org/wikipedia/commons/7/7e/Fran%C3%A7ois-Hubert_Drouais%2C_Louis_de_Bourbon-Cond%C3%A9%2C_comte_de_Clermont_%281771%29.jpg		male	aristocrat	French				
6384525	Verrières	Rinteau	Claudine-Geneviève		1730	1784				female		French				A. Jullien, Le théâtre des Dlles Verrières, p. 12-15
64007015	Helvétius, Madame	Helvétius, Madame	Anne-Catherine de Ligniville		1719	1800	http://fr.wikipedia.org/wiki/Anne-Catherine_de_Ligniville_Helv%C3%A9tius	http://upload.wikimedia.org/wikipedia/commons/5/51/AnneCatherineHelvetius.jpg		female		French				
64023544	Popelinière, La	Popelinière	Alexandre Jean Joseph Le Riche de La		1693	1762	http://fr.wikipedia.org/wiki/Alexandre_Le_Riche_de_La_Pouplini%C3%A8re	https://upload.wikimedia.org/wikipedia/commons/a/ae/Alexandre-Jean-Joseph_Le_Riche_de_La_Pouplini%C3%A8re_%28detail%29_by_J.-J._Bal%C3%A9chou_after_Louis_Vig%C3%A9e.jpg	author, finacier	male		French				
64087946	Duc de Croÿ	Croÿ	Emmanuel de	7e duc de Croÿ, prince de Solre	1718	1784	http://en.wikipedia.org/wiki/Emmanuel_de_Cro%C3%BF-Solre	http://upload.wikimedia.org/wikipedia/commons/8/89/Anne-Emmanuel_de_Cro%C3%BF-Solre_%281718-1784%29.jpg		male	aristocrat	French	prince de Solre	father, host		
66083059	Poulhariez, Pierre-Nicolas	Poulhariez,	Pierre-Nicolas						Author	male		French				
66462879	Arnould, Sophie	Arnould	Magdeleine Sophie		1740	1802		http://upload.wikimedia.org/wikipedia/commons/f/f1/Portrait_of_a_Lady%2C_called_Sophie_Arnould_%28c._1773%29_by_Jean-Baptiste_Greuze.jpg	actress, singer	female	aristocrat	French				Rodolphe Trouilleux, N’oubliez pas Iphigénie : Bioographie de la cantatrice et épistolière Sophie Arnould(1740-1802), 352 p.
